Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Thomas J. McManus	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/16/1913	  4 Bottom
Neil J. Leavy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  9 Bottom
Samuel L. Levine	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	3/21/1967	  9 Bottom
Arthur T. Barry	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Top
Henry Hanson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/14/1908	  6 Bottom
Bejamin Suarez	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Bottom
Harold R. Nelson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/3/1970	  8 Bottom
A. David Feluren	Foreman	SCOTIA FIRE DEPARTMENT	8/26/1976	  8 Top
William D. Lake	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Top
Ralph D. Transue	Chief	VESTAL FIRE DEPARTMENT	11/23/1941	  5 Top
