Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
James W. Blackmore	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	6/5/1998	10 Top
James W. Kojac	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/2/1956	13 Top
James W. McCarthy	Firefighter	BINGHAMTON FIRE DEPARTMENT	10/8/1940	10 Bottom
James Weaver	Firefighter	GALLUPVILLE FIRE DEPARTMENT	4/2/1995	10 Top
James Whalen	Captain	NEW YORK CITY FIRE DEPARTMENT	10/06/1869	17 Bottom
Jeffrey J. Giordano	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Bottom
Jeffrey J. Olsen	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Bottom
Jeffrey M. Palazzo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Bottom
Jeffrey P. Walz	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
Jeffrey Stark	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Bottom
Jeremiah P. Coughlin	Firefighter	ROCHESTER FIRE DEPARTMENT	5/24/1936	18 Top
Jeremy S. Lasher 	Firefighter 	VERONA FIRE DEPARTMENT 	7/23/2009	20 Top
Jerry G. Saxe	Firefighter	KISKATOM VOLUNTEER FIRE DEPARTMENT	11/4/1964	16 Top
Joan Monahan	Firefighter	NANUET FIRE COMPANY	1/1/1994	10 Top
Joe M. Vargason	Fire Police	MAINE FIRE DEPARTMENT	6/30/2001	17 Bottom
Joel F. Kinzly	Firefighter	NORTH TONAWANDA FIRE DEPARTMENT	11/20/1945	15 Top
Joel Kohlhammer	Assistant Foreman	SYRACUSE FIRE DEPARTMENT	08/28/1841	21 Bottom
John A. Crisci	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	12 Bottom
John A. Davison	Chief	EAST NORWICH FIRE DEPARTMENT	12/1/1955	18 Top
John A. Keyser	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
John A. Licciardo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/7/1982	12 Top
John A. Luby	Foreman	ALBANY FIRE DEPARTMENT	07/12/1885	15 Bottom
John A. Lyden	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/24/1949	15 Top
John A. Santore	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
John A. Schardt	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
John A. Slowey	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	8/1/1934	19 Top
John A. Wheeler	Firefighter	OSSINING FIRE DEPARTMENT	12/10/1874	16 Bottom
John A. Williamson	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Top
John Biernie	Lieutenant	UTICA FIRE DEPARTMENT	2/12/1902	13 Bottom
John Bradshaw	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/26/1828	21 Bottom
John Buckloh	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/06/1838	19 Bottom
John Bulger	Engineer	NEW YORK CITY FIRE DEPARTMENT	11/28/1890	14 Bottom
John C. Cosner	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/18/1960	13 Top
John C. Farragher	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/12/1962	12 Bottom
John C. Huggins	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/26/1942	17 Top
John C. Huss	Firefighter	RIDGE - CULVER FIRE DEPARTMENT	3/7/1984	12 Top
"John C. Nelson, Jr."	Firefighter	HOLLAND FIRE COMPANY	9/25/1992	10 Top
John Cannon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/15/1962	12 Bottom
John Carroll	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/28/1935	19 Top
John Catalano	Ex-Chief	SELDEN FIRE DEPARTMENT	5/1/1962	11 Top
John Clarke	Firefighter	BUFFALO FIRE DEPARTMENT	08/16/1896	14 Bottom
John Crotty	Deputy Commissioner	BUFFALO FIRE DEPARTMENT	2/8/1937	18 Top
John D. McKean	Engineer	NEW YORK CITY FIRE DEPARTMENT	9/22/1953	14 Top
John D. Pike	Firefighter	ROCHESTER FIRE DEPARTMENT	05/05/1867	17 Bottom
John Dargan	Ex-Captain	PORT WASHINGTON FIRE DEPARTMENT	4/11/1953	19 Top
John Domblewski	Inspector	SCHENECTADY FIRE DEPARTMENT	1/11/1974	19 Bottom
John Dougherty	Firefighter	OSWEGO FIRE DEPARTMENT	2/10/1904	10 Bottom
John Durkin	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/24/1937	18 Top
John E. DeRosa	Firefighter	SENNETT FIRE DEPARTMENT	1/1/1983	12 Top
John E. Ginocchetti	Firefighter	MANLIUS FIRE DEPARTMENT	3/7/2002	10 Bottom
John E. Murphy	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/27/1939	18 Top
John E. Woodard	Fire Protection Specialist	NYS/DOS/OFFICE OF FIRE PREVENTION & CONTROL	6/29/1995	10 Top
John Eaton	Firefighter	ROCHESTER FIRE DEPARTMENT	08/26/1840	19 Bottom
John Ennis	Firefighter	NEW YORK CITY FIRE DEPARTMENT	08/30/1885	15 Bottom
John F. Cassidy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/20/1880	16 Bottom
John F. Hickey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	09/30/1896	14 Bottom
John F. Kroening	Firefighter	CAMBRIA FIRE DEPARTMENT	11/18/1997	10 Top
John F. Molloy	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	4/4/1956	13 Top
John F. Spaulding	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/12/1892	14 Bottom
John G. Barry	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
John G. Chipura	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Bottom
John G. Reinhardt	Firefighter	NEW YORK CITY FIRE DEPARTMENT	05/06/1897	14 Bottom
John Geary	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/22/1901	13 Bottom
John H. Bush	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	02/11/1876	16 Bottom
John H. Cosgrove	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	8/1/1932	20 Top
John H. Seaman	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/2/1935	19 Top
John H. Slattery	Hoseman	ROCHESTER FIRE DEPARTMENT	1/8/1901	13 Bottom
John Husser	Firefighter	ROCKVILLE CENTRE FIRE DEPARTMENT	6/28/2005	18 Top
John J. Bresnan	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	12/29/1894	14 Bottom
"John J. Daly, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/12/1955	14 Top
John J. Downing	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/17/2001	18 Top
John J. Drennan	Captain	NEW YORK CITY FIRE DEPARTMENT	5/7/1994	10 Top
John J. Fanning	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	11 Bottom
"John J. Feeley, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/18/1933	19 Top
John J. Finley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/17/1939	17 Top
John J. Finley	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
"John J. Flanagan, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/8/1975	8 Top
John J. Flood	Deputy Chief	NEW YORK CITY FIRE DEPARTMENT	12/20/1932	11 Bottom
John J. Garrick	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/9/1961	12 Bottom
John J. Grady	Captain	NEW YORK CITY FIRE DEPARTMENT	3/24/1900	13 Bottom
John J. Jakoby	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/5/1938	18 Top
John J. Kiley	Firefighter	YONKERS FIRE DEPARTMENT	12/20/1943	16 Top
John J. King	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/27/1961	12 Bottom
"John J. Lyons, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/17/1939	17 Top
John J. McDermott	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/18/1960	13 Top
John J. McPartlin	Firefighter	ROCHESTER FIRE DEPARTMENT	10/8/1936	18 Top
John J. Rober	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	4/28/1959	13 Top
John J. Russell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/15/1945	15 Top
John J. Sheehy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/1/1944	16 Top
John J. Stolz	Hoseman	ALBANY FIRE DEPARTMENT	7/12/1954	14 Top
"John J. Storch, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/6/1933	19 Top
"John J. Tipping, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
John J. Toomey	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/6/1987	11 Top
John J. Tracy	Firefighter	MATTYDALE FIRE DEPARTMENT	7/31/1966	11 Bottom
John Kennell	Firefighter	BUFFALO FIRE DEPARTMENT	5/8/1902	13 Bottom
John Knapp	Firefighter	NEW YORK CITY FIRE DEPARTMENT	03/07/1834	20 Bottom
John L. Carlson	Firefighter	JERICHO FIRE DEPARTMENT	6/26/1984	12 Top
John L. Guyre	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1850	19 Bottom
"John L. Kelley, Jr."	Fire Police	CANISTEO FIRE DEPARTMENT	3/18/1990	11 Top
John L. Rooney	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/29/1894	14 Bottom
John M. Clancy	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/31/1995	10 Top
John M. Collins	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	13 Bottom
John M. Gill	Firefighter	AUBURN FIRE DEPARTMENT	5/31/1942	16 Top
John M. J. McGowan	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	3/8/1952	14 Top
John M. Killian	Firefighter	SCHENECTADY FIRE DEPARTMENT	9/9/1952	14 Top
John Manning	Captain	BUFFALO FIRE DEPARTMENT	07/21/1887	15 Bottom
John Morrissey	Firefighter	BUFFALO FIRE DEPARTMENT	01/13/1890	15 Bottom
John N. Crosthwaite	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/4/1961	12 Bottom
John P. Bergin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Bottom
John P. Burnside	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Bottom
John P. Devaney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/3/1989	11 Top
John P. Hamilton	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/22/1954	14 Top
John P. Rotundo	Firefighter	HARRISON FIRE DEPARTMENT	12/6/1964	11 Bottom
John P. Schwintek	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/14/1940	17 Top
John P. Tierney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
John R. Sheridan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/14/1945	16 Top
John Reilly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/14/1879	16 Bottom
John Reinhardt	Firefighter	NEW YORK CITY FIRE DEPARTMENT	04/24/1854	18 Bottom
John Roller	Firefighter	BREWERTON FIRE DEPARTMENT	11/18/1987	11 Top
John S. Carman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/30/1853	18 Bottom
John S. Whitnell	Hoseman	ALBANY FIRE DEPARTMENT	01/31/1899	13 Bottom
John Slowey	Captain	NEW YORK CITY FIRE DEPARTMENT	02/03/1863	17 Bottom
John T. Andariese	Captain	NEW YORK CITY FIRE DEPARTMENT	2/26/1903	13 Bottom
John T. Dwyer	Captain	TROY FIRE DEPARTMENT	4/18/1956	13 Top
John T. Rynn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/10/1948	15 Top
"John T. Vigiano, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Top
John U. Green	Deputy Coordinator 	RICHVILLE FIRE DEPARTMENT	9/9/1987	11 Top
John V. Logan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/24/1933	19 Top
John W. Agan	Firefighter	SYRACUSE FIRE DEPARTMENT	2/3/1939	17 Top
John W. Bridgeford	Hoseman	ALBANY FIRE DEPARTMENT	12/19/1892	14 Bottom
John W. Eiserman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/14/1945	16 Top
John W. Irving	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/07/1879	16 Bottom
John W. Leary	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/9/1946	15 Top
"John W. Smith, II"	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	6/18/1933	20 Top
John Woods	Firefighter	OSWEGO FIRE DEPARTMENT	4/4/1916	10 Bottom
Jonathan Hanson	Captain	JAMESTOWN FIRE DEPARTMENT	3/12/1910	10 Bottom
Jonathan Tyack	Assistant Foreman	NEW YORK CITY FIRE DEPARTMENT	06/22/1884	15 Bottom
Joseph A. Dansbach	Firefighter	ROCHESTER FIRE DEPARTMENT	10/7/1940	17 Top
Joseph A. Joyce	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/1/1945	15 Top
Joseph A. Mascali	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
Joseph A. McNamara	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1937	18 Top
Joseph Albert	Firefighter	HAVERSTRAW FIRE DEPARTMENT	1/8/1906	20 Top
Joseph Anton	Firefighter	AUBURN CITY FIRE DEPARTMENT	12/26/1932	20 Top
Joseph C. Fiala	Firefighter	SAYVILLE FIRE DEPARTMENT	7/29/1947	15 Top
Joseph C. G. Fischer	Firefighter	LYNBROOK FIRE DEPARTMENT	5/3/1963	11 Bottom
Joseph Calabro	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/1/1982	12 Top
Joseph Culligan	Battalion Chief	ROCHESTER FIRE DEPARTMENT	11/22/1937	18 Top
"Joseph D. Jarvis, Sr."	Fire Police	OCEANSIDE FIRE DEPARTMENT	5/19/1994	10 Top
Joseph Delong	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/28/1954	14 Top
Joseph Dunn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/4/1936	18 Top
Joseph E. Muggleton	Firefighter	BINGHAMTON FIRE DEPARTMENT	6/14/1914	10 Bottom
Joseph Eckes	Firefighter	OSSINING FIRE DEPARTMENT	5/13/1941	17 Top
Joseph Farrell	Firefighter	BAYPORT FIRE DEPARTMENT	3/19/1991	11 Top
Joseph Hugger	Firefighter	SYRACUSE FIRE DEPARTMENT	09/10/1887	15 Bottom
Joseph J. Brecht	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/31/1948	15 Top
Joseph J. Kirker	Protective	ALBANY FIRE DEPARTMENT	4/30/1959	13 Top
"Joseph J. McNally, Sr."	Captain	ALBANY FIRE DEPARTMENT	4/23/1986	12 Top
Joseph J. Ogren	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
Joseph J. Stock	Chief	ROSLYN FIRE DEPARTMENT	4/13/1918	15 Bottom
Joseph J. Tucker	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/19/1957	13 Top
"Joseph Kelly, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
Joseph L. Minore	Ex-Chief	SETAUKET FIRE DEPARTMENT	8/2/1986	12 Top
Joseph LaGrange	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/20/1932	20 Top
Joseph M. Oesau	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/12/1955	14 Top
Joseph McCarty	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/21/1939	17 Top
Joseph P. Ahearn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/10/1934	19 Top
Joseph P. Cavalieri	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/18/1998	10 Top
Joseph P. Dugan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/31/1954	14 Top
Joseph P. Faughnan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	11/17/1987	11 Top
Joseph P. Graffagnino	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	8/18/2007	19 Bottom
Joseph P. Spor	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
Joseph P. Treacy	Assistant Chief	YONKERS FIRE DEPARTMENT	5/27/1962	12 Bottom
Joseph Priore	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
Joseph R. Bow	Firefighter	PEARL RIVER FIRE DEPARTMENT	10/21/1991	11 Top
"Joseph R. Marchbanks, Jr."	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Top
"Joseph R. Rivelli, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
Joseph Scanlon	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/13/1936	18 Top
Joseph Skillman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	02/08/1861	17 Bottom
Joseph T. Fosse	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/26/1937	18 Top
Joseph T. Mannino	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/24/1953	14 Top
Joseph Tillotson	Firefighter	NEWBURGH FIRE DEPARTMENT	01/31/1887	15 Bottom
Joseph Tracy	Captain	NEW YORK CITY FIRE DEPARTMENT	5/3/1938	18 Top
Joseph V. Machansky	Firefighter	GREENLAWN FIRE DEPARTMENT	1/1/1960	13 Top
Joseph Valentino	Firefighter	VALLEY STREAM FIRE DEPARTMENT	1/1/1963	11 Bottom
Joseph Wernette	Firefighter	ROCHESTER FIRE DEPARTMENT	05/05/1867	17 Bottom
Joseph Wescott	Firefighter	RICHMOND VOLUNTEER ENGINE COMPANY	11/24/1930	21 Top
Joseph Williams	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/01/1877	16 Bottom
Joshua A. Wallace	Firefighter	NEW YORK CITY FIRE DEPARTMENT	06/25/1884	15 Bottom
Julius C. Greene	Ex-Chief	WESTVILLE FIRE DEPARTMENT	11/2/1988	11 Top
Julius Feldman	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/8/1953	14 Top
June M. Fitzpatrick	Firefighter	ROCKY POINT FIRE DEPARTMENT	6/15/1995	10 Top
Karl A. Schmidt	Assistant Chief	COWLESVILLE FIRE DEPARTMENT	10/15/1996	10 Top
Karl H. Joseph	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
Karl Richter	Firefighter	WANTAUGH FIRE DEPARTMENT	6/14/1990	11 Top
Keith A. Glascoe	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
Keith Roma	Fire Patrol	"WORLD TRADE CENTER, MEM. OF NYBFU/STATIONED WITH FDNY"	9/11/2001	19 Top
Keith W. Farr	Firefighter	AVON FIRE DEPARTMENT	1/23/1983	12 Top
Keithroy M. Maynard	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
Kenneth B. Kumpel	Fire Marshal	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
Kenneth F. Clinch	Firefighter	MOUNT MARION FIRE DEPARTMENT	7/30/1999	21 Top
Kenneth F. Schunk    	Firefighter    	CASSADAGA FIRE DEPARTMENT     	1/24/1965	21 Top
Kenneth J. Marino	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
Kenneth J. Phelan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
Kenneth Smith	Ex-Chief	MERRICK FIRE DEPARTMENT	6/26/1982	12 Top
Kenneth T. Watson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
Kenneth Wamsley	Firefighter	HURLEY FIRE DEPARTMENT	10/26/1963	18 Top
Kevin C. Dowdell	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
Kevin C. Seaburg	Assistant Chief	SELKIRK FIRE DEPARTMENT	2/5/1997	10 Top
"Kevin E. Townes, Sr. "	Firefighter 	MOUNT VERNON FIRE DEPARTMENT	12/8/2011	18 Top
Kevin H. Bracken	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Top
Kevin J. Bristol 	Firefighter 	PEEKSKILL FIRE DEPARTMENT 	3/3/2014	11 Bottom
Kevin J. Cioffi	Firefighter	WYANDANCH FIRE DEPARTMENT	7/15/1985	12 Top
Kevin J. Pfeifer	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Bottom
Kevin J. Smith	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Top
Kevin J. Sutch	Commissioner	LEVITOWN FIRE DEPARTMENT	6/12/1995	10 Top
Kevin Kane	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/12/1991	11 Top
Kevin M. Prior	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Top
Kevin O. Reilly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Bottom
Kevin W. Donnelly	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
Lawrence D. Thrower	Lieutenant	SIDNEY FIRE DEPARTMENT	10/24/1998	10 Top
Lawrence E. Miller	Firefighter	CHERRY CREEK FIRE DEPARTMENT	5/20/1983	12 Top
Lawrence G. Sesso 	Firefighter 	SAYVILLE FIRE DEPARTMENT 	8/22/2015	16 Bottom
Lawrence G. Veling	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	18 Bottom
Lawrence J. Virgilio	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
"Lawrence R. Smith, Sr."	Firefighter	GHENT VOLUNTEER FIRE COMPANY # 1	3/14/1989	11 Top
Lawrence T. Stack	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	15 Top
Lawrence W. Koen	Firefighter	ROCHESTER FIRE DEPARTMENT	9/18/1961	12 Bottom
Lee S. Fehling	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
Leland R. Smith	Hoseman	ALBANY FIRE DEPARTMENT	3/21/1944	16 Top
Leo A. Podeswa	Firefighter	YONKERS FIRE DEPARTMENT	2/10/1947	15 Top
Leo Doyle	Firefighter	NATURAL BRIDGE FIRE DEPARTMENT	6/20/1987	11 Top
Leo J. J. Ray	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/15/1962	12 Bottom
"Leon Smith, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Top
"Leon Thomas, Jr."	Firefighter	ADAMS CENTER FIRE DEPARTMENT	7/17/1987	11 Top
Leon Walton	Firefighter	YORK FIRE DEPARTMENT	8/8/1985	12 Top
Leonard Bloodgood	Firefighter	OTISCO FIRE DEPARTMENT	4/18/1983	12 Top
Leonard J. Giustino	Firefighter	PELHAM FIRE DEPARTMENT	1/7/1950	15 Top
Leonard J. Ragaglia	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Bottom
Leonard N. Zeller	Past Chief	EDWARDS FIRE DEPARTMENT	12/15/1997	10 Top
LeRoy A. Kemp    	Firefighter    	TIOGA CENTER FIRE COMPANY NO. 1             	1/13/2010	10 Top
Leroy Schmuck	Chief	OLD FORGE VOLUNTEER FIRE DEPARTMENT	6/28/1965	19 Bottom
Leslie G. Ackerly	Firefighter	PATCHOGUE FIRE DEPARTMENT	5/17/1948	15 Top
Lewis M. Grimes	Firefighter	ALBION FIRE DEPARTMENT	5/13/1949	16 Top
Lincoln Quappe	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
Lloyd E. Curtis	Firefighter	VESTAL FIRE DEPARTMENT	2/19/2001	19 Top
Lloyd Jablin	Firefighter	SOUTH SPRING VALLEY FIRE DEPARTMENT	6/5/1998	10 Top
Loren Walter 	Fire Police	THURMAN FIRE DEPARTMENT	6/23/1956	13 Top
Lorenzo Camerano	Firefighter	ROCKVILLE CENTER FIRE DEPARTMENT	2/10/1924	10 Bottom
Lou Chadderdon	Firefighter	AUBURN FIRE DEPARTMENT	06/17/1880	16 Bottom
Louis Arena	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	21 Top
Louis Hardina	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/1/1932	20 Top
Louis J. Brusati	"Patrolman, Fire Patrol"	NYBFU/STATIONED WITH FDNY	2/14/1958	15 Bottom
Louis J. Flurry	Firefighter	UNION VOLUNTEER FIRE COMPANY	7/26/1987	11 Top
Louis J. Modafferi	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Bottom
Louis Rice	Assistant Foreman	ROCHESTER FIRE DEPARTMENT	12/16/1894	14 Bottom
Louis Valentino	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/5/1996	10 Top
Louis W. Finger	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	5/7/1953	14 Top
Lowell J. McElroy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/8/1949	15 Top
Ludwig A. Beckmann	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/26/1959	13 Top
Luigi Bianca	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	3/28/1962	12 Bottom
"Manuel Delvalle, Jr. "	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	16 Top
"Manuel Mojica, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	20 Top
Mark B. Davis	Firefighter	CAPE VINCENT FIRE DEPARTMENT	1/31/2009	2 Top
Mark P. Whitford	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	17 Bottom
Mark Pirolli	Firefighter	NIAGARA FALLS FIRE DEPARTMENT 	10/31/1964	11 Bottom
Marshall E. Wells	Firefighter	GANSEVOORT FIRE DEPARTMENT	1/1/1981	12 Top
Marshall F. Sarles	Firefighter	MAMARONECK FIRE DEPARTMENT	7/2/1991	11 Top
Martin Ames	Firefighter	BRENTWOOD FIRE DEPARTMENT	5/6/1952	14 Top
Martin D. Kelly	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	5/26/1957	13 Top
Martin E. McWilliams	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	19 Top
Martin F. Dwyer	Captain	SYRACUSE FIRE DEPARTMENT	8/27/1936	18 Top
Martin Hanrahan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/16/1964	11 Bottom
Martin J. McCormick	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/26/1960	13 Top
Martin J. Oakley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/21/1897	14 Bottom
Martin M. Coleman	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	12/21/1903	13 Bottom
Martin Mahoney	Captain	BUFFALO FIRE DEPARTMENT	11/11/1901	13 Bottom
Mathais Henes	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/22/1870	16 Bottom
Mathew A. Phillips	Firefighter	ALBION FIRE DEPARTMENT	2/4/1926	15 Bottom
Mathew F. Wieners	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/28/1959	13 Top
Mathew Fohey	Captain	NEW YORK CITY FIRE DEPARTMENT	8/24/1900	17 Bottom
